objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best,name,ra,dec,semimaj_arcsec,axial_ratio,pos_angle,global_flag,GALEX_FUV,GALEX_FUV_err,GALEX_FUV_flag,GALEX_NUV,GALEX_NUV_err,GALEX_NUV_flag,SDSS_u,SDSS_u_err,SDSS_u_flag,SDSS_g,SDSS_g_err,SDSS_g_flag,SDSS_r,SDSS_r_err,SDSS_r_flag,SDSS_i,SDSS_i_err,SDSS_i_flag,SDSS_z,SDSS_z_err,SDSS_z_flag,2MASS_J,2MASS_J_err,2MASS_J_flag,2MASS_H,2MASS_H_err,2MASS_H_flag,2MASS_Ks,2MASS_Ks_err,2MASS_Ks_flag,WISE_3.4,WISE_3.4_err,WISE_3.4_flag,WISE_4.6,WISE_4.6_err,WISE_4.6_flag,WISE_12,WISE_12_err,WISE_12_flag,WISE_22,WISE_22_err,WISE_22_flag,Spitzer_3.6,Spitzer_3.6_err,Spitzer_3.6_flag,Spitzer_4.5,Spitzer_4.5_err,Spitzer_4.5_flag,Spitzer_5.8,Spitzer_5.8_err,Spitzer_5.8_flag,Spitzer_8.0,Spitzer_8.0_err,Spitzer_8.0_flag,Spitzer_24,Spitzer_24_err,Spitzer_24_flag,Spitzer_70,Spitzer_70_err,Spitzer_70_flag,Spitzer_160,Spitzer_160_err,Spitzer_160_flag,PACS_70,PACS_70_err,PACS_70_flag,PACS_100,PACS_100_err,PACS_100_flag,PACS_160,PACS_160_err,PACS_160_flag,SPIRE_250,SPIRE_250_err,SPIRE_250_flag,SPIRE_350,SPIRE_350_err,SPIRE_350_flag,SPIRE_500,SPIRE_500_err,SPIRE_500_flag
NGC1437B,56.47875,-36.35695,8.3,Sd,1.46,2.884031756,13.83,90,1497,1423,19.42927362,8.68,1496,20.42599672,10.28016497,10.28016497,NGC1437B,56.47875,-36.35695,122.9883449,2.109283404,89.55434216,,,,,0.001197224,8.97E-05,,,,,,,,,,,,,,,,,0.045052659,0.004578371,,0.055194063,0.01179269,,0.046698894,0.005493455,,0.02318782,0.001118291,,0.012060245,0.001027681,,0.034933522,0.002673629,,0.041621157,0.004659773,,0.023975417,0.001518907,,0.016076515,0.001084039,,,,,,,,,,,,,,,,,,,,1.431256807,0.412797077,,1.683467889,0.438013318,,1.501484005,0.12716123,,0.807532287,0.094271149,,0.355998901,0.056435764,
NGC1808,76.9263,-37.51296,1.2,Sa,1.73,5.3703182,10.83,83.9,995,894,12.20644457,10.39,1002,13.68104861,12.30269203,12.30269203,NGC1808,76.9263,-37.51296,435.7989916,1.869175668,34.42544642,,0.006626283,3.08E-04,,0.013562308,3.96E-04,,,,,,,,,,,,,,,,,1.436262285,0.039238783,,2.022688031,0.048381558,,1.445647473,0.039848961,,0.935869246,0.027799105,,0.618011711,0.022772516,,4.627311756,0.21359691,,15.46873094,0.86711318,,0.956632696,0.030596134,N,0.68122837,0.021089923,N,1.424677702,0.044793245,N,,,,13.99663717,0.704065126,N,,,,,,,130.8701037,9.91581935,n,169.0441223,12.80126742,n,144.5719826,10.81110204,n,61.40992309,3.421649648,,24.8778868,1.454333588,,8.056293996,0.485377636,
NGC2992,146.4252,-14.32638,0.9,Sa,1.47,2.951209421,13.06,90,2311,2492,34.02512288,31.6,2310,31.540142,,31.6,NGC2992,146.4252,-14.32638,211.4895331,2.805350179,100.6464221,,0.00370572,1.84E-04,,0.004331272,1.58E-04,,,,,,,,,,,,,,,,,0.27216396,0.021471685,,0.323909479,0.029975278,,0.27996097,0.024059205,,0.15811466,0.005066077,,0.105976327,0.004372467,,0.382490481,0.020531777,,1.044321399,0.06178488,,,,,0.163120015,0.004955847,a,0.235237991,0.008603637,,0.377689243,0.011610428,,1.089725172,0.062958038,n,,,,,,,9.080854541,0.745955427,,13.41968839,1.210609036,,12.52376578,0.956677066,,5.524143543,0.321478651,,2.329413544,0.137985417,,0.833577284,0.061848579,
NGC3079,150.49095,55.67982,6.6,SBcd,1.91,8.128304537,11.41,90,1116,1513,20.65811032,19.3,1123,15.33315128,16.51961552,16.51961552,NGC3079,150.49095,55.67982,451.2059584,3.661897364,73.77728539,,0.011421841,5.24E-04,,0.016698935,5.06E-04,,0.063163517,0.004934788,c,0.157318462,0.005005837,c,0.281820134,0.007220996,c,0.432087038,0.016482736,c,0.486989459,0.01932676,c,0.771732489,0.076481067,,1.274633343,0.295478523,,0.880669409,0.183675061,,0.790536275,0.023594922,C,0.374953085,0.013611228,,2.090585116,0.097993368,,3.018515155,0.173279017,,0.557203162,0.017030104,,0.393133342,0.012015744,,0.967386987,0.060981135,AN,2.180698759,0.067190962,AN,2.924756496,0.146880292,a,,,,,,,62.20219253,4.482305638,N,115.8651138,8.125600112,N,109.487286,7.724123474,N,51.89410851,2.880034428,,21.69990031,1.233902978,,7.833052693,0.45901752,
NGC3190,154.52625,21.83272,0.9,Sa,1.56,3.630780069,11.88,87.8,1271,1649,22.51501912,24.35,1323,18.06389951,24.32204885,24.32204885,NGC3190,154.52625,21.83272,223.7200624,1.603036501,28.10403572,,2.96E-04,1.06E-04,,0.001804554,2.38E-04,,0.023092617,0.002268291,,0.110878424,0.003102365,,0.225293958,0.006288193,,0.332511719,0.008788143,,0.432736468,0.037355362,,0.712552415,0.061421548,,0.977938855,0.136641541,,0.755761097,0.12797743,,0.36041447,0.011434341,,0.202863287,0.008364081,,0.305673545,0.018067973,,0.263997607,0.023694647,,0.352221027,0.011331001,,0.224182621,0.007464929,,0.138327018,0.01473477,,0.297028454,0.009857759,,0.268082416,0.019400762,,,,,,,,4.99733814,1.107802993,,11.72083751,1.747366518,,14.6892996,1.360375677,,8.016898395,0.502345901,,3.355613238,0.499529222,,1.057036852,0.187933328,
NGC3396,162.4806,32.99078,9.4,SBm,1.49,3.0902955,12.43,90,1625,2104,28.72747133,24.9,1629,22.24194429,,24.9,NGC3396,162.4806,32.99078,272.6742789,1.741963748,-20.85091659,C,0.018480179,8.33E-04,C,0.024933528,6.77E-04,C,0.043687807,0.00105274,C,0.087075889,0.001101155,C,0.105788845,0.001279026,C,0.121828048,0.001817993,C,0.134839536,0.003604053,C,0.180855827,0.010964038,C,0.266955202,0.025333363,C,0.166496468,0.015872272,C,0.096321511,0.004155325,C,0.066234975,0.003748892,C,0.458205332,0.022276491,C,1.258208278,0.073015406,C,0.090479899,0.003544977,CN,0.06020111,0.002481974,CN,-0.674654599,0.022946252,CNA,0.498259474,0.015342358,CN,1.119710669,0.05666453,CN,12.24094666,1.298599946,CN,16.97868399,-2.037442079,CN,14.38102032,2.444851857,Cn,22.29449686,2.941813133,Cn,16.51191748,2.963149384,Cn,7.791591577,0.484747694,C,3.304284164,0.251867575,C,1.300184154,0.147634354,C
NGC3448,163.66425,54.30515,1.8,Sab,1.47,2.951209421,12.42,90,1350,1802,24.60404151,24.5,1372,18.73293282,,24.5,NGC3448,163.66425,54.30515,141.7474085,1.876299513,-26.87736299,,0.005817801,2.65E-04,,0.008955899,2.46E-04,,0.019637118,0.001070326,,0.049140986,5.64E-04,,0.067987464,8.42E-04,,0.080755398,0.001253304,,0.089549104,0.003475232,,0.11973606,0.008139941,,0.130774962,0.017658472,,0.099785498,0.013605063,,0.064632063,0.00229059,,0.041340792,0.002134459,,0.198876639,0.009660036,,0.575471683,0.033021727,,0.067517918,0.002289371,,0.047251116,0.001600977,,0.090787163,0.003268669,,0.20645914,0.006289934,a,0.591079514,0.029697072,,7.117952774,0.714997533,,10.71739329,1.308412973,n,,,,12.31707928,1.357716411,,10.50428902,0.96472067,,5.130326035,0.302616093,,2.36066991,0.164564874,,0.925201055,0.078178277,
NGC3501,165.69705,17.98949,5.9,Sc,1.63,4.265795141,13.61,90,1130,1491,20.35772802,23.61,1126,15.37411251,22.59436247,22.59436247,NGC3501,165.69705,17.98949,201.0425809,2.59587636,118.4523264,,0.001540524,7.61E-05,,0.00174331,7.96E-05,,0.008493379,0.00292366,,0.024738624,0.001002168,,0.044796116,0.00249087,,0.064955485,0.002429024,,0.082955344,0.0083101,,0.120375332,0.032320199,,0.082150711,0.18115831,a,0.121300818,0.076518671,,0.075539075,0.002836182,,0.042797904,0.002655134,,0.136224147,0.00849573,,0.162446293,0.014357383,,0.076539897,0.002370453,N,0.051102197,0.001592701,n,0.075455772,0.004380737,N,0.164202948,0.004989146,n,,,,,,,,,,,,,5.915554994,0.69250533,,9.059022659,0.885867111,,4.819637835,0.303405918,,2.39164638,0.191168837,,0.96835067,0.096728225,
NGC4013,179.6307,43.94673,3.1,Sb,1.69,4.897788839,12.39,90,831,1176,16.05679956,18.76,836,11.41452758,18.79317543,18.79317543,NGC4013,179.6307,43.94673,344.8801539,3.02361809,-23.87234003,,0.001141416,5.79E-05,,0.003501476,1.10E-04,,0.029399444,4.55E-04,,0.081489253,7.49E-04,,0.163453381,0.00142913,,0.250392961,0.001998264,,0.358672379,0.00359801,,0.515448456,0.00984753,,0.684648524,0.014393476,,0.695399058,0.014656544,,0.354754909,0.010391119,,0.21708929,0.007590874,,0.588866107,0.027320657,,0.692053247,0.040658618,,0.35202853,0.010842144,N,0.239427517,0.007358832,N,0.330219413,0.012603053,N,0.64872134,0.019675493,N,0.637203428,0.032356787,a,,,,,,,,,,25.53602943,1.895475841,n,36.42731236,2.668348674,n,19.27855932,1.069998242,,8.561916371,0.487759799,,3.09885224,0.182891839,
NGC4144,182.49375,46.45731,5.9,SABc,1.72,5.248074948,12.05,86.2,265,336,4.587657018,6.63,266,3.631895139,6.886527682,6.886527682,NGC4144,182.49375,46.45731,311.6276805,3.433724175,13.00362305,,0.008773482,3.97E-04,,0.013273888,3.73E-04,,0.032965235,0.002209778,,0.077601878,0.001563912,,0.111836417,0.002539747,,0.135215188,0.003564239,,0.150759464,0.018502483,,0.173747373,0.032825048,,0.13468588,0.064989163,,0.16759346,0.033541724,,0.073614119,0.003797355,,0.041947027,0.002944619,,0.055228742,0.00878171,,0.116507498,0.020236794,,0.070906049,0.002572414,N,0.049139575,0.001983547,N,-0.306483233,6.893209072,aN,0.063187773,0.002556238,N,0.111427977,0.006326492,,,,,,,,,,,4.718883523,0.667166022,,5.45208124,0.638138254,,3.635175314,0.320884978,,2.193947191,0.214049331,,1.107152936,0.151845597,
