L,B
273.27710431792235,-50.82513258485072
319.2566314988746,-57.993363874229765
10.69845752274125,-74.53159860997916
174.12358568738364,33.05718357806023
263.925701924191,19.97570029938702
140.20421571035683,43.60766049834871
96.85133120527331,80.38306276975167
97.36565992544507,-87.96417940826451
273.6740754250383,-73.12014651813251
140.28380428793145,-38.91308531909368
140.3845711240765,-17.415674553075785
236.3570233406371,-55.61651684891936
238.1587370297591,-52.11006918715764
241.21187044988272,-35.90168265086901
249.70610931345448,28.78092694960432
157.810049860317,48.35983704345557
213.03555871245646,54.847979781195235
192.9000557719985,63.160858013537926
153.0540707934324,55.4501134827438
227.27172535100584,63.374310595706994
251.13388391439833,63.57965430837995
138.84808750750017,60.05337478214154
151.86545123557914,70.08897238801549
143.17476278151366,69.00742167935798
271.8618595917149,71.36621422656516
145.39730452431166,71.72703303925313
265.43283832952915,74.9594320264949
270.203164222644,73.55348078843924
270.45395201183794,73.73786155041532
139.89734677497313,68.84674789151306
270.53506763604656,73.93147377793824
279.18162849400596,68.46835712629633
127.41702613611153,47.36202941475962
284.37973622873255,65.4929455181282
272.51556120424226,75.68352518077474
280.5836180517719,70.63132302305443
271.37810989818536,76.60429295579559
277.74354727550764,73.24845886686717
279.12192797762907,74.33546237931492
278.7875493859459,74.7856699569045
276.4483818367768,76.64261262326788
292.73637784073213,62.6160113609093
284.66221236016116,71.48138810201884
286.1256076380196,70.9013370244685
287.4304350808883,70.6098934273155
292.5932778959013,65.1771959626445
291.0251226091171,68.94273519399376
230.76254690608425,86.437699270462
294.64199868397844,66.98186049253445
296.4245574146905,62.18648823694376
293.48380528896973,74.57000672391698
142.80620423625754,84.2224510270264
140.34045957568765,84.70299911795608
304.5307926333679,78.71426884813481
306.7409409386297,64.39892718980488
110.38667410387944,72.5810208174586
89.27570312136766,71.71411925231975
96.70054556769617,68.120906137798
340.0272120452352,63.48491211546495
340.52482049376414,63.46813516415479
340.4567804940904,55.75585325302182
339.15006084608166,53.810176500591524
65.177140910204,69.98220695783775
349.25410780563834,58.647926416883124
348.9856011484237,58.0398345127381
86.98030078866077,60.48525246593764
354.9660380640929,52.95546381635317
98.21084857505389,52.01056717163906
91.58445264665977,51.087079800036165
29.351136431812506,-16.012365258362586
341.2957357146709,-45.38527572438724
79.70987543576894,-63.12126801118907
111.5290468979087,82.09863179560165
149.91867866159134,71.52199334333109
241.93432345694737,81.05359766649505
287.43383564877166,65.53207903568105
301.95985704253025,65.72081632775644
306.2720057333528,76.08745289068791
71.39153005700473,66.89808234191295
